episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,2109812.9656006643,90398.26136348672,7017,12273,72127.7474928365,10.279000640278822,0.4566255292723726
2,2097472.7791585233,88573.58315231722,6818,12576,68185.42487207444,10.000795669122095,0.2609122080982588
3,2056361.9363046468,82335.3799249047,6468,12882,65240.69291325691,10.086687216026116,0.3409697376141666
4,2073419.7574076403,81316.05029473429,6283,13324,61219.40279322978,9.743657933030365,0.2555323432449297
5,2072255.9383952974,80307.37448174166,6381,13460,62620.32701445591,9.813560102563219,0.4492888939024068
6,2088296.8388043055,75828.36298562073,5880,13900,56577.610120220925,9.622042537452538,0.45033154788058205
7,2052207.3264384593,74472.86615115168,5937,13681,58116.6141118958,9.78888565132151,0.14376926911342452
8,2032771.8713594163,80540.36021672886,6087,13683,52374.15828406745,8.60426454477862,0.14867805916120536
9,2046887.4290991374,75192.2736715643,5697,14189,49991.868284569784,8.775121692920798,0.3640748096565366
10,2028522.5223798638,75310.88420335318,5552,14267,46386.461310787665,8.354910178455992,0.13451931349327806
11,2042382.036807612,69513.484233677,5045,14850,42489.66805354312,8.422134401098736,0.30347936181729973
12,2062802.902008263,75697.26339728356,5385,14552,44181.076848129276,8.20447109528863,0.14815849786269752
13,2058594.1797500413,72252.70448515262,5052,14789,40760.113036992334,8.068114219515506,0.41413172700139816
14,2057184.0741287817,70335.09384858113,4907,15024,39372.5446286113,8.023750688528898,0.41681324936682607
15,2071305.3124366985,72554.02111472918,5031,14911,39252.7926238202,7.802184977901053,0.0915660291500609
16,2064089.9547481572,72544.10501715074,5059,14879,40402.36929226297,7.986236270461153,0.15916304493688813
17,2062040.822368943,73825.16628160384,5109,14877,39358.600499076616,7.703777744974871,0.4411103927553618
18,2053233.3630581596,72273.93328316556,5014,14937,38238.591315978236,7.62636444275593,0.5632154625616388
19,2064969.972744528,70780.45383485519,4933,15087,37726.50981133631,7.647782244341438,0.4131388603182348
20,2047662.2909164084,70153.65617647533,4909,15019,38368.2616419007,7.815901740049033,0.4501950088512833
21,2055483.4661789786,71829.03673950226,4968,15022,37736.64792484056,7.595943624162754,0.2865845495036886
22,2049686.9930932953,71840.76589702613,4922,15037,36207.28666505941,7.356214275713004,0.2293879563502097
23,2041892.252903571,72484.5178997633,4971,15046,35446.16606460248,7.130590638624518,0.19187107709262316
24,2048487.1598221695,74264.3704547458,5162,14874,37758.950594609916,7.314790893957752,0.2522861393109
25,2050390.7343008998,72485.68983866938,4974,15084,35487.164899601186,7.134532549175952,0.6005303007219879
26,2051374.6460557054,74154.81943364014,5049,15041,35053.43695857821,6.942649427327829,0.4911018167177209
27,2054652.0232913177,72977.96432407937,5086,14938,36040.5589298822,7.086228653142391,0.2771861416940021
28,2048671.2459248756,71968.4549415447,4930,15096,33877.32287259221,6.871667925475093,0.42428638960951864
